                          2016-07-24 00:53:47.921503
*******************************************************************************

     This output file records the optimization of a bin packing problem

     with  500  items to pack. The optimization is terminated after

      25000  fitness function evaluations.


*******************************************************************************

     Method:  MOMAD
     data:  MOMAD/Static/SBSBPP500/Experiment08/SBSBPP500_run8.txt
Generation  1 : 

Gen. Member  Solution ID     f[1] (B)    f[2] (H)    f[3] (Avg. W)
        482        10161           93         324          282.45
        483         1088           88         324          298.50
        484        12523           88         324          298.50
        485        14209           95         324          276.51
        486          679           91         324          288.66
        487        13489           88         324          298.50
        488          851           93         324          282.45
        489         1283           92         324          285.52
        490         9821           93         324          282.45
        491         1267           97         323          270.80
        492          770           90         324          291.87
        493         1292           89         324          295.15
        494         7275           92         323          285.52
        495         9693           89         324          295.15
        496        11825           87         324          301.93
        497        14399           93         324          282.45
        498         8366           91         324          288.66
        499         1710           93         324          282.45

There are currently  101 solutions in the Pareto Set:
  - Solution Number  31
  - Solution Number  44
  - Solution Number  115
  - Solution Number  189
  - Solution Number  211
  - Solution Number  262
  - Solution Number  322
  - Solution Number  378
  - Solution Number  393
  - Solution Number  487
  - Solution Number  600
  - Solution Number  601
  - Solution Number  1789
  - Solution Number  1964
  - Solution Number  1997
  - Solution Number  2150
  - Solution Number  2328
  - Solution Number  2514
  - Solution Number  2542
  - Solution Number  2619
  - Solution Number  2905
  - Solution Number  2958
  - Solution Number  2984
  - Solution Number  3086
  - Solution Number  3190
  - Solution Number  3531
  - Solution Number  3739
  - Solution Number  3764
  - Solution Number  3790
  - Solution Number  3973
  - Solution Number  4075
  - Solution Number  4128
  - Solution Number  4178
  - Solution Number  4441
  - Solution Number  4751
  - Solution Number  4778
  - Solution Number  5039
  - Solution Number  5086
  - Solution Number  5194
  - Solution Number  5273
  - Solution Number  5299
  - Solution Number  5324
  - Solution Number  5531
  - Solution Number  5582
  - Solution Number  5819
  - Solution Number  5998
  - Solution Number  6027
  - Solution Number  6130
  - Solution Number  6233
  - Solution Number  6335
  - Solution Number  6466
  - Solution Number  6598
  - Solution Number  6728
  - Solution Number  6881
  - Solution Number  7613
  - Solution Number  7708
  - Solution Number  7743
  - Solution Number  7943
  - Solution Number  8028
  - Solution Number  8055
  - Solution Number  8106
